SLNO,Name,Description,Category,Start,End,Duration,Total years
1,Google Optimize,Google Optimize was a web analytics and testing tool that allowed users to run experiments aimed at increasing visitor conversion rates and overall satisfaction,Service,2012,2023,2012 - 2023,11
2,Google Cloud IoT Core,"Google Cloud IoT Core was a managed service designed to let customers securely connect, manage, and ingest data from globally dispersed devices.",Service,2019,2023,2019 - 2023,4
3,Grasshopper,"Grasshopper was a free mobile and web app for aspiring programmers that taught introductory JavaScript and coding fundamentals using fun, bite-sized puzzles",App,2019,2023,2019 - 2023,4
4,Conversational Actions,"Conversational Actions extended the functionality of Google Assistant by allowing 3rd party developers to create custom experiences, or conversations, for users of Google Assistant",Service,2018,2023,2018 - 2023,5
5,Google Currents (2019),Google Currents was a service that provided social media features similar to Google+ for Google Workspace customers.,Service,2019,2023,2019 - 2023,4
6,Google Street View (standalone app),Google Street View app was an Android and iOS app that enabled people to get a 360 degree view of locations around the world,App,2010,2023,2010 - 2023,13
7,Jacquard,"Jacquard was a small tag to make it easier and more intuitive for people to interact with technology in their everyday lives, without having to constantly pull out their devices or touch screens.",Hardware,2014,2023,2014 - 2023,9
8,Google Code Competitions,"Google Code Jam, Kick Start, and Hash Code were competitive programming competitions open to programmers around the world.",Service,2003,2023,2003 - 2023,20
9,Google Stadia,"Google Stadia was a cloud gaming service combining a WiFi gaming controller and allowed users to stream gameplay through web browsers, TV, mobile apps, and Chromecast.",Service,2019,2023,2019 - 2023,4
10,Google OnHub,"Google OnHub was a series of residential wireless routers manufactured by Asus and TP-Link that were powered by Google software, managed by Google apps, and offered enhanced special features like Google Assistant.",Hardware,2015,2023,2015 - 2023,8
11,YouTube Originals,"Killed 3 months ago, YouTube Originals was a variety of original content including scripted series, educational videos, and music and celebrity programming.",Service,2016,2022,2016 - 2022,6
12,Threadit,Threadit was a tool for recording and sharing short videos.,App,2021,2022,2021 - 2022,1
13,Duplex on the Web,Duplex on the Web was a Google Assistant technology that automated tasks on the web on behalf of a user; such as booking movie tickets or making restaurant reservations.,Service,2019,2022,2019 - 2022,3
14,Google Hangouts,Google Hangouts was a cross-platform instant messaging service.,Service,2013,2022,2013 - 2022,9
15,Google Surveys,Google Surveys was a business product by Google aimed at facilitating customized market research.,Service,2012,2022,2012 - 2022,10
16,YouTube Go,YouTube Go was an app aimed at making YouTube easier to access on mobile devices in emerging markets through special features like downloading video on wifi for viewing later.,App,2017,2022,2017 - 2022,5
